combo,oof_macro_f1,oof_acc,n_teachers
"q3bb:1,q3b43:1,q3b44:1,q3b45:1,qgptoss:2",0.7863,0.7826,5
"qw6:8,qgptoss:1",0.7857,0.7817,2
"qw6:5,q3b45:1",0.7856,0.7810,2
"qw6:5,qgptoss:1",0.7856,0.7818,2
"qw6:3,qgptoss:1",0.7855,0.7822,2
"qw6:5,q3bb:1",0.7853,0.7804,2
"qw6:8,q3b45:1",0.7852,0.7809,2
"qw6:8,q3bb:1",0.7852,0.7804,2
"qw6:3,q3bb:1",0.7852,0.7807,2
"qw6:6,qgptoss:1,qdebertaL:1",0.7851,0.7815,3
"qw6:3,q3b45:1",0.7849,0.7804,2
"qw6:8,qgpt5:1",0.7846,0.7807,2
"q3bb:1,q3b43:1,q3b44:1,q3b45:1,qgptoss:2,qdebertaL:1",0.7846,0.7819,6
"qw6:5,qgpt5:1",0.7845,0.7804,2
"qw6:6,qdebertaL:1",0.7845,0.7807,2
"qw6:8,q3b43:1",0.7845,0.7804,2
"qw6:8,qdebertaL:1",0.7844,0.7804,2
"qw6:5,q3b43:1",0.7844,0.7802,2
"qw6:6,qgpt5:1,qdebertaL:1",0.7844,0.7804,3
"qw6:8,q3b44:1",0.7844,0.7800,2
"qw6:8,q32b:1",0.7844,0.7802,2
"qw6:5,qdebertaL:1",0.7843,0.7804,2
"qw6:3,qgpt5:1",0.7842,0.7799,2
"qw6:5,q3b44:1",0.7842,0.7799,2
"qw6:4,qdebertaL:1",0.7842,0.7799,2
qw6,0.7841,0.7799,1
"qw6:3,qdebertaL:1",0.7837,0.7794,2
"qw6:6,qdebertaL:2",0.7837,0.7794,2
"qw6:3,q32b:1",0.7836,0.7794,2
"qw6:5,q32b:1",0.7836,0.7793,2
"qw6:3,q3b43:1",0.7835,0.7798,2
"qw6:3,q3b44:1",0.7834,0.7795,2
qgptoss,0.7829,0.7805,1
"qw6:8,qdebertaL:1,qmodernbertL:1",0.7829,0.7794,3
"q14b,q32b,q3b,q3b43,q3b44,q3b45,q3bb,qdebertaL,qgpt5,qgptoss,qmistral24b,qmodernbertL,qw6",0.7827,0.7797,13
"qw6:8,qmodernbertL:1",0.7826,0.7785,2
"qw6:6,qdebertaL:1,qmodernbertL:1",0.7825,0.7792,3
"qw6:4,qdebertaL:2",0.7822,0.7782,2
"qw6:6,qdebertaL:3",0.7822,0.7782,2
"qw6:8,qgptoss:1,qgpt5:1,qdebertaL:1,qmistral24b:1",0.7815,0.7784,5
"qw6:4,qdebertaL:1,qmodernbertL:1",0.7814,0.7782,3
"qw6:6,qmodernbertL:1",0.7811,0.7773,2
"q3bb,q3b43,q3b44,q3b45,qgptoss,qgpt5,qmistral24b,qdebertaL,qmodernbertL",0.7810,0.7787,9
"qw6:5,qmodernbertL:1",0.7807,0.7769,2
"qw6:4,qdebertaL:3",0.7806,0.7768,2
"qw6:8,qmistral24b:1",0.7800,0.7766,2
"qw6:4,qmodernbertL:1",0.7799,0.7762,2
"qw6:6,qmistral24b:1,qdebertaL:1",0.7793,0.7773,3
"qw6:4,qmistral24b:1,qdebertaL:1",0.7788,0.7768,3
"q3bb:1,qgptoss:1,qgpt5:1,qmistral24b:1",0.7785,0.7784,4
"qw6:3,qmodernbertL:1",0.7785,0.7755,2
"qw6:6,qmodernbertL:2",0.7785,0.7755,2
"qw6:6,qmistral24b:1,qmodernbertL:1",0.7784,0.7761,3
"qw6:5,qmistral24b:1",0.7783,0.7762,2
"qw6:3,qmistral24b:1",0.7769,0.7754,2
"qw6:4,qmodernbertL:2",0.7768,0.7742,2
"qw6:6,qmodernbertL:3",0.7768,0.7742,2
q3bb,0.7766,0.7737,1
qgpt5,0.7764,0.7732,1
"qw6:4,qmistral24b:1,qmodernbertL:1",0.7760,0.7745,3
"qgptoss:1,qgpt5:1,qmistral24b:1,qdebertaL:1",0.7751,0.7763,4
q3b44,0.7751,0.7733,1
q3b43,0.7740,0.7697,1
q3b45,0.7733,0.7717,1
"qw6:4,qmodernbertL:3",0.7724,0.7707,2
q32b,0.7672,0.7654,1
q14b,0.7659,0.7667,1
q3b,0.7637,0.7660,1
qdebertaL,0.7264,0.7384,1
"qmistral24b:1,qdebertaL:1",0.7222,0.7493,2
"qmistral24b:1,qdebertaL:1,qmodernbertL:1",0.7210,0.7444,3
qmistral24b,0.6659,0.7070,1
qmodernbertL,0.5983,0.6210,1
